,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
1786,2005_14_CHI_PIT,CHI,PIT,2005,13.0,-12.0,12.0,-1.919283618854177,8.274249014868008,-10.193532633722185,10.193532633722185,-2.7965506557286806,0.01908139552880833,-2.815632051257489,7.770029004985247,-5.349510905318346,13.119539910303594
1787,2005_15_ATL_CHI,CHI,ATL,2005,14.0,13.0,-13.0,-6.300047375867662,-17.836320019181585,11.536272643313923,-11.536272643313923,-6.764303467889397,-20.266893113426036,13.502589645536638,-23.782190772910315,-10.607160113748158,-13.175030659162157
1788,2005_16_CHI_GB,CHI,GB,2005,15.0,7.0,-7.0,-1.4246920432037875,-11.359532238846752,9.934840195642964,-9.934840195642964,4.339726545786176,-7.835858502733057,12.175585048519233,-9.782522241851396,-7.660772971246714,-2.121749270604682
1789,2005_17_CHI_MIN,CHI,MIN,2005,16.0,-24.0,24.0,-4.7213349519098005,18.863467738053927,-23.584802689963727,23.584802689963727,-6.425684439266047,13.496302539663414,-19.92198697892946,13.739028416252777,-10.409470111712132,24.14849852796491
1790,2006_01_CHI_GB,CHI,GB,2006,1.0,26.0,-26.0,4.357058284939135,-26.368363480403787,30.725421765342922,-30.725421765342922,10.704085067367451,-17.09316990974266,27.79725497711011,-19.71728102445651,1.5051268023153395,-21.22240782677185
1791,2006_02_DET_CHI,CHI,DET,2006,2.0,27.0,-27.0,13.787316333044757,-15.95077334387118,29.738089676915937,-29.738089676915937,9.5567906240736,-10.350459739157827,19.907250363231427,-18.300392645497872,6.167716189767133,-24.468108835265006
1792,2006_03_CHI_MIN,CHI,MIN,2006,3.0,3.0,-3.0,-4.771260563539576,-11.959104111207882,7.187843547668306,-7.187843547668306,-9.692593209115953,-16.411009375883978,6.718416166768025,-16.91390896179001,-6.191022681031786,-10.722886280758225
1793,2006_04_SEA_CHI,CHI,SEA,2006,4.0,31.0,-31.0,14.536135890092435,-17.452106978802476,31.98824286889491,-31.98824286889491,12.314385204708085,-15.186249313674786,27.50063451838287,-16.62066497815363,5.5221672845372645,-22.142832262690895
1794,2006_05_BUF_CHI,CHI,BUF,2006,5.0,33.0,-33.0,10.921895480868145,-23.281134069975298,34.20302955084344,-34.20302955084344,7.443807925431841,-16.41471053193454,23.85851845736638,-21.177010839088943,2.9641604398113826,-24.141171278900327
1795,2006_06_CHI_ARI,CHI,ARI,2006,6.0,1.0,-1.0,-34.73348213863602,-37.81798618888589,3.084504050249869,-3.084504050249869,-26.494417305148133,-30.59595299890596,4.101535693757828,-21.231488205009228,-14.923641691321919,-6.307846513687309
1796,2006_08_SF_CHI,CHI,SF,2006,7.0,31.0,-31.0,16.999878059711445,-17.354193228433207,34.35407128814465,-34.35407128814465,12.16310969946165,-10.389183555594673,22.552293255056323,-16.213543477364652,7.186239353617,-23.399782830981653
1797,2006_09_MIA_CHI,CHI,MIA,2006,8.0,-18.0,18.0,-21.137105165476743,0.4451682225705289,-21.582273388047273,21.582273388047273,-24.430307273193538,-0.4645532739392978,-23.96575399925424,2.7646738187016124,-12.018235509297956,14.782909327999569
1798,2006_10_CHI_NYG,CHI,NYG,2006,9.0,18.0,-18.0,-0.790557190176663,-22.946497890701416,22.155940700524752,-22.155940700524752,-15.421759419014625,-15.227681830037762,-0.19407758897686378,-32.15721677030107,-6.939198324332293,-25.218018445968777
1799,2006_11_CHI_NYJ,CHI,NYJ,2006,10.0,10.0,-10.0,-1.6790811846929803,-14.902580196328929,13.223499011635948,-13.223499011635948,0.47376207711697044,-16.259023611264737,16.732785688381707,-24.09022630199392,-5.365650319018877,-18.724575982975043
1800,2006_12_CHI_NE,CHI,NE,2006,11.0,-4.0,4.0,-2.1857152601495105,-4.671617767444179,2.4859025072946683,-2.4859025072946683,-11.296692005584289,-4.706234757476945,-6.590457248107343,-3.8087254021589803,-1.5934530986336775,-2.215272303525303
1801,2006_13_MIN_CHI,CHI,MIN,2006,12.0,10.0,-10.0,-18.629484851031062,-27.702114765261133,9.07262991423007,-9.07262991423007,-22.920939743648592,-19.098672855427754,-3.822266888220838,-38.328710633172136,-15.223360109427949,-23.105350523744185
